Number,Institution,Group,Password Expiration,Expiration time,"Specific affiliates
 (if relevant)",Link,Password Composition Rules,"Specific affiliates 
(if relevant)",Link,"Knowledge-Based Authentication (""Security Questions"")","Specific affiliates 
(if relevant)",Link,Multifactor Authentication ,Specific affiliates (if relevant),Multifactor authentication provider,Link
1,Princeton University,US Universities,No information found,,,,Disallowed,,https://informationsecurity.princeton.edu/passwords,No information found,,,Required for all affiliates,,Duo,https://princeton.service-now.com/service?id=kb_article&sys_id=575eff5387064dd012ae43bd0ebb35b0
2,Massachusetts Institute of Technology,US Universities,Required for all affiliates,1 year,,https://ist.mit.edu/passwords,Required for all affiliates,,https://kb.mit.edu/confluence/display/istcontrib/Strong+Passwords,No information found,,,Required for all affiliates,,Duo,https://kb.mit.edu/confluence/display/istcontrib/Duo+Authentication+Landing+Page
3,Harvard University,US Universities,No information found,,,,Recommended,,https://privsec.harvard.edu/protect-identity,No information found,,,Required for all affiliates,,Okta,https://www.huit.harvard.edu/news/introducing-okta-new-way-verify-your-identity-harvardkey
4,Stanford University,US Universities,No information found,,,,Required for specific affiliates,Affiliates with short password only,https://uit.stanford.edu/service/accounts/passwords#rules,Required for all affiliates,,https://uit.stanford.edu/service/accounts/passwords,Required for all affiliates,,Duo,https://uit.stanford.edu/service/authentication/twostep
5,Yale University,US Universities,Required for all affiliates,1 year,,https://your.yale.edu/policies-procedures/procedures/1601-pr02-netids-and-identity-management ,Required for specific affiliates,Affiliates with short password only,https://cybersecurity.yale.edu/protect-your-identity,Disallowed,,https://cybersecurity.yale.edu/sites/default/files/2021-10/NetId%20Management%20Guide%20-%20V11.pdf,Required for all affiliates,,Duo,https://cybersecurity.yale.edu/mfa
6,University of Pennsylvania,US Universities,Disallowed,,,https://isc.upenn.edu/pennkey/frequently-asked-questions ,Required for specific affiliates,Affiliates with short password only,https://isc.upenn.edu/pennkey/password-guidelines,No information found,,,Required for all affiliates,,Duo,https://isc.upenn.edu/pennkey/frequently-asked-questions
7,California Institute of Technology,US Universities,No information found,,,,Recommended,,https://www.imss.caltech.edu/services/security/recommendations/passwords,Recommended,,https://www.imss.caltech.edu/services/accounts-passwords-access/accesscaltech-help,Required for all affiliates,,Duo,https://www.imss.caltech.edu/services/security/policies/multi-factor-authentication-policy
8,Duke University,US Universities,Disallowed,,,https://security.duke.edu/security-guides/secure-access-guide/ ,Disallowed,,https://security.duke.edu/security-guides/secure-access-guide,No information found,,,Required for all affiliates,,Duo,https://oit.duke.edu/service/authentication/
9,Brown University,US Universities,Recommended,Periodically,,https://ithelp.brown.edu/kb/articles/password-requirements-for-a-brown-username ,Required for all affiliates,,https://ithelp.brown.edu/kb/articles/password-requirements-for-a-brown-username,Recommended,,https://ithelp.brown.edu/kb/articles/install-and-activate-brown-guardian,Required for all affiliates,,Duo,https://ithelp.brown.edu/kb/articles/use-two-step-verification-for-your-brown-account
10,Johns Hopkins University,US Universities,Required for all affiliates,1 year,,https://myjhsupport.jh.edu/how-do-i-change-my-password/ ,Required for all affiliates,,https://myjhsupport.jh.edu/how-do-i-change-my-password/,Required for all affiliates,,https://studentaffairs.jhu.edu/registrar/students/getting-started/,Required for all affiliates,,,https://wseit.engineering.jhu.edu/get-help/multi-factor-authentication/
11,Northwestern University,US Universities,Required for all affiliates,1 year,,https://services.northwestern.edu/TDClient/30/Portal/KB/ArticleDet?ID=1890 ,Required for all affiliates,,https://services.northwestern.edu/TDClient/30/Portal/KB/ArticleDet?ID=1889,Required for all affiliates,,https://services.northwestern.edu/TDClient/30/Portal/KB/ArticleDet?ID=1399,Required for all affiliates,,Duo,https://services.northwestern.edu/TDClient/30/Portal/KB/ArticleDet?ID=1901
12,Columbia University,US Universities,Discouraged,,,https://www.cuit.columbia.edu/strong-passwords ,Required for all affiliates,,https://www.cuit.columbia.edu/strong-passwords,Required for all affiliates,,https://www.it.cuimc.columbia.edu/news/account-and-password-help,Required for all affiliates,,Duo,https://www.cuit.columbia.edu/mfa
13,Cornell University,US Universities,No information found,,,,Required for all affiliates,,https://it.cornell.edu/security-and-policy/strong-passwords-your-computer-netid-and-other-cornell-services#toc-cornell-pa-AU-dGuHm,Discouraged,,https://it.cornell.edu/security-and-policy/set-netid-password-security-questions,Required for all affiliates,,Duo,https://it.cornell.edu/twostep
14,University of Chicago,US Universities,Required for specific affiliates,1 year,Affiliates with MFA not enabled,https://its.uchicago.edu/cnetid-account-management-practices/ ,Required for specific affiliates,Affiliates with short password only,https://cnet.uchicago.edu/claimacct/usePwd.do,Required for all affiliates,,https://uchicago.service-now.com/it?id=kb_article_view&sysparm_article=KB00015275&sys_kb_id=6f3d548d4765a61090824bc4236d435d&spa=1,Required for all affiliates,,Okta,https://uchicago.service-now.com/it?id=kb_article&kb=KB00015876#mcetoc_1hn1eb1qa6v
15,"University of California, Berkeley",US Universities,No information found,,,,Required for all affiliates,,https://calnet.berkeley.edu/calnet-me/how-claim-your-calnet-id/passphrase-requirements,Required for specific affiliates,Employees,https://ucpath.berkeley.edu/security-questions,Required for all affiliates,,Duo,https://calnet.berkeley.edu/calnet-2-step
